task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,percent_complete,duration,status,is_milestone,is_critical,risk_flag,severity_score,update_phase
TSK-001,Task 001,2025-08-24,2025-09-16,2025-08-26,2025-09-07,Complete,,Complete,FALSE,False,L,,Update_010
TSK-002,Task 002,2025-08-29,2025-09-29,2025-08-29,2025-09-12,100%,,Complete,0,No,High,,Update_010
TSK-003,Task 003,2024-11-07,2024-12-24,2024-11-05,2024-12-10,1.0,48,Complete,FALSE,No,High,0.03,Update_010
TSK-004,Task 004,2025-06-11,2025-08-22,2025-06-12,2025-08-07,1.0,5 days,Complete,,0,High,0.04,Update_010
TSK-005,Task 005,2025-02-18,2025-04-09,2025-02-15,2025-04-07,Complete,,Complete,0,,Low,0.4,Update_010
TSK-006,Task 006,2025-02-27,2025-04-29,2025-03-01,2025-04-26,100%,47,Complete,False,0,Medium,0.44,Update_010
TSK-007,Task 007,2025-09-20,2025-10-15,2025-09-20,2025-10-07,1.0,23,Complete,,FALSE,,0.72,Update_010
TSK-008,Task 008,2025-07-01,2025-08-21,2025-07-03,2025-08-12,1.0,4 wks,Complete,,1,,,Update_010
TSK-009,Task 009,2025-05-28,2025-07-05,2025-05-25,2025-06-15,100%,,Complete,1,0,Medium,0.61,Update_010
TSK-010,Task 010,2024-11-08,2024-12-16,2024-11-08,2024-12-08,100%,5,Complete,,False,Low,0.23,Update_010
TSK-011,Task 011,2025-08-07,2025-10-12,2025-08-07,2025-10-06,100%,4 wks,Complete,0,Yes,Medium,0.29,Update_010
TSK-012,Task 012,2025-05-01,2025-06-17,2025-04-29,2025-06-15,100%,,Complete,FALSE,0,,,Update_010
TSK-013,Task 013,2025-02-13,2025-03-30,2025-02-15,2025-03-19,1.0,14,Complete,FALSE,False,Medium,0.86,Update_010
TSK-014,Task 014,2025-03-12,2025-05-07,2025-03-15,2025-04-02,1.0,2 wks,Complete,,1,L,0.43,Update_010
TSK-015,Task 015,2025-02-28,2025-03-28,2025-03-01,2025-03-18,100%,32,Complete,No,True,,,Update_010
TSK-016,Task 016,2024-11-23,2025-01-30,2024-11-25,2024-12-26,1.0,,Complete,Yes,Yes,,0.41,Update_010
TSK-017,Task 017,2025-07-31,2025-09-07,2025-08-02,2025-09-04,100%,,Complete,FALSE,False,High,,Update_010
TSK-018,Task 018,2025-07-10,2025-08-08,2025-07-07,2025-07-30,Complete,22,Complete,FALSE,,High,0.58,Update_010
TSK-019,Task 019,2025-09-21,2025-11-16,2025-09-22,2025-11-01,Complete,5 wks,Complete,TRUE,,High,,Update_010
TSK-020,Task 020,2025-08-11,2025-09-17,2025-08-10,2025-09-18,100%,,Complete,,FALSE,L,,Update_010
TSK-021,Task 021,2025-06-05,2025-07-08,2025-06-08,2025-07-06,100%,6 days,Complete,True,1,High,0.73,Update_010
TSK-022,Task 022,2025-01-09,2025-03-27,2025-01-10,2025-02-10,100%,1 wks,Complete,FALSE,False,L,,Update_010
TSK-023,Task 023,2025-06-17,2025-07-30,2025-06-20,2025-07-28,Complete,9,Complete,False,1,L,,Update_010
TSK-024,Task 024,2025-02-20,2025-03-17,2025-02-22,2025-03-16,1.0,,Complete,No,0,,,Update_010
TSK-025,Task 025,2025-09-17,2025-11-08,2025-09-19,2025-11-12,100%,,Complete,False,FALSE,,0.22,Update_010
TSK-026,Task 026,2025-03-08,2025-04-25,2025-03-08,2025-04-22,1.0,45,Complete,0,No,L,,Update_010
TSK-027,Task 027,2025-09-14,2025-11-04,2025-09-15,2025-10-28,100%,35,Complete,,False,H,0.22,Update_010
TSK-028,Task 028,2024-12-31,2025-02-27,2025-01-01,2025-02-22,100%,,Complete,0,0,High,,Update_010
TSK-029,Task 029,2025-03-29,2025-05-25,2025-03-26,2025-05-03,Complete,16,Complete,False,No,High,0.96,Update_010
TSK-030,Task 030,2025-02-28,2025-05-01,2025-02-25,2025-04-11,Complete,,Complete,TRUE,No,H,0.65,Update_010
TSK-031,Task 031,2024-12-15,2025-01-29,2024-12-14,2025-01-28,1.0,2 wks,Complete,FALSE,,,0.51,Update_010
TSK-032,Task 032,2025-06-24,2025-07-31,2025-06-25,2025-07-25,100%,1 wks,Complete,True,False,Low,,Update_010
TSK-033,Task 033,2025-08-30,2025-10-02,2025-08-29,2025-09-24,Complete,,Complete,,False,L,0.91,Update_010
TSK-034,Task 034,2025-09-24,2025-11-07,2025-09-27,2025-11-01,100%,48,Complete,TRUE,True,H,,Update_010
TSK-035,Task 035,2024-11-16,2024-12-20,2024-11-16,2024-12-18,Complete,4 wks,Complete,FALSE,FALSE,High,,Update_010
