task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,percent_complete,duration,status,is_milestone,is_critical,risk_flag,severity_score,update_phase
TSK-001,Task 001,2025-05-31,2025-07-04,2025-06-01,2025-06-19,Complete,22,Complete,False,False,Medium,0.95,Update_010
TSK-002,Task 002,2025-07-10,2025-09-06,2025-07-11,2025-08-27,100%,,Complete,0,,Low,,Update_010
TSK-003,Task 003,2024-11-30,2024-12-31,2024-11-28,2024-12-08,Complete,10 days,Complete,No,Yes,Low,0.31,Update_010
TSK-004,Task 004,2025-06-16,2025-07-01,2025-06-19,2025-07-02,Complete,5 wks,Complete,No,No,H,,Update_010
TSK-005,Task 005,2025-01-20,2025-02-26,2025-01-18,2025-02-11,100%,,Complete,False,1,High,,Update_010
TSK-006,Task 006,2025-08-15,2025-09-10,2025-08-17,2025-09-08,1.0,,Complete,Yes,1,Low,,Update_010
TSK-007,Task 007,2025-05-28,2025-08-01,2025-05-27,2025-07-26,1.0,4 wks,Complete,FALSE,Yes,High,0.67,Update_010
TSK-008,Task 008,2025-05-03,2025-07-21,2025-05-06,2025-06-28,Complete,40,Complete,False,FALSE,L,,Update_010
TSK-009,Task 009,2025-04-22,2025-05-24,2025-04-19,2025-05-01,1.0,5 days,Complete,FALSE,No,Low,,Update_010
TSK-010,Task 010,2024-10-28,2024-12-21,2024-10-30,2024-11-30,100%,,Complete,No,TRUE,High,,Update_010
TSK-011,Task 011,2025-08-04,2025-09-16,2025-08-03,2025-08-18,100%,,Complete,FALSE,Yes,L,0.94,Update_010
TSK-012,Task 012,2025-10-17,2025-12-31,2025-10-14,2025-11-30,1.0,4 wks,Complete,No,No,Low,,Update_010
TSK-013,Task 013,2025-10-01,2025-10-30,2025-10-02,2025-10-31,1.0,7 days,Complete,False,0,L,0.59,Update_010
TSK-014,Task 014,2025-07-15,2025-09-21,2025-07-12,2025-09-06,1.0,,Complete,0,0,L,,Update_010
TSK-015,Task 015,2025-06-06,2025-07-09,2025-06-07,2025-07-04,Complete,5 wks,Complete,FALSE,0,H,0.64,Update_010
TSK-016,Task 016,2025-06-07,2025-08-05,2025-06-08,2025-07-20,100%,35,Complete,No,0,L,0.7,Update_010
TSK-017,Task 017,2025-06-01,2025-08-08,2025-05-30,2025-06-24,1.0,,Complete,0,,,0.12,Update_010
TSK-018,Task 018,2025-05-01,2025-06-16,2025-04-29,2025-06-13,100%,,Complete,0,,High,,Update_010
TSK-019,Task 019,2025-06-07,2025-08-22,2025-06-10,2025-08-07,1.0,1 wks,Complete,FALSE,,,,Update_010
TSK-020,Task 020,2025-08-28,2025-09-23,2025-08-26,2025-09-12,1.0,4 days,Complete,FALSE,Yes,,,Update_010
TSK-021,Task 021,2025-05-26,2025-06-12,2025-05-28,2025-06-14,Complete,6 days,Complete,No,,,,Update_010
TSK-022,Task 022,2025-07-11,2025-08-29,2025-07-11,2025-08-16,100%,9 days,Complete,1,No,Low,0.18,Update_010
TSK-023,Task 023,2025-09-05,2025-10-18,2025-09-06,2025-10-13,100%,,Complete,0,FALSE,L,,Update_010
TSK-024,Task 024,2025-02-23,2025-06-14,2025-02-25,2025-04-26,Complete,3 wks,Complete,0,0,,,Update_010
TSK-025,Task 025,2024-12-21,2025-03-11,2024-12-20,2025-01-14,1.0,,Complete,1,0,High,,Update_010
TSK-026,Task 026,2025-05-05,2025-06-02,2025-05-07,2025-06-05,Complete,21,Complete,FALSE,0,H,,Update_010
TSK-027,Task 027,2025-03-19,2025-04-10,2025-03-18,2025-04-08,Complete,,Complete,0,FALSE,Medium,0.82,Update_010
TSK-028,Task 028,2025-06-06,2025-07-29,2025-06-04,2025-07-30,100%,21,Complete,No,Yes,High,,Update_010
TSK-029,Task 029,2024-11-18,2024-12-26,2024-11-17,2024-12-13,100%,5 wks,Complete,FALSE,False,Medium,,Update_010
TSK-030,Task 030,2025-07-24,2025-08-15,2025-07-25,2025-08-10,Complete,16,Complete,No,0,H,0.92,Update_010
TSK-031,Task 031,2024-11-07,2024-12-20,2024-11-05,2024-12-07,1.0,9 days,Complete,FALSE,True,H,0.76,Update_010
TSK-032,Task 032,2025-09-30,2025-10-31,2025-10-02,2025-10-20,1.0,5,Complete,False,No,High,0.22,Update_010
TSK-033,Task 033,2025-08-22,2025-10-19,2025-08-23,2025-09-22,100%,2 wks,Complete,No,True,L,,Update_010
TSK-034,Task 034,2025-08-23,2025-09-09,2025-08-23,2025-09-05,Complete,1 wks,Complete,FALSE,False,Medium,0.87,Update_010
TSK-035,Task 035,2025-01-06,2025-04-07,2025-01-06,2025-02-24,1.0,5 wks,Complete,False,FALSE,Low,0.62,Update_010
TSK-036,Task 036,2025-07-03,2025-09-09,2025-06-30,2025-08-27,1.0,11,Complete,No,FALSE,Low,,Update_010
TSK-037,Task 037,2025-06-01,2025-06-28,2025-06-03,2025-06-16,100%,39,Complete,No,,Low,,Update_010
TSK-038,Task 038,2025-09-01,2025-11-22,2025-09-01,2025-10-01,100%,16,Complete,False,TRUE,H,0.82,Update_010
TSK-039,Task 039,2025-03-10,2025-04-05,2025-03-11,2025-04-04,Complete,21,Complete,TRUE,True,High,0.09,Update_010
TSK-040,Task 040,2024-12-04,2024-12-24,2024-12-03,2024-12-26,100%,8 days,Complete,False,,L,,Update_010
TSK-041,Task 041,2025-09-26,2025-11-27,2025-09-29,2025-11-12,1.0,4 wks,Complete,False,TRUE,High,0.74,Update_010
TSK-042,Task 042,2025-01-02,2025-02-10,2024-12-31,2025-02-05,Complete,10 days,Complete,False,Yes,L,,Update_010
TSK-043,Task 043,2025-02-25,2025-04-24,2025-02-23,2025-03-19,100%,3 wks,Complete,0,1,,,Update_010
TSK-044,Task 044,2025-04-07,2025-05-11,2025-04-10,2025-05-03,1.0,22,Complete,,,H,,Update_010
TSK-045,Task 045,2025-02-13,2025-03-20,2025-02-11,2025-03-06,1.0,42,Complete,TRUE,,Low,0.65,Update_010
TSK-046,Task 046,2025-05-06,2025-06-15,2025-05-04,2025-05-27,Complete,9 days,Complete,False,FALSE,Low,0.35,Update_010
TSK-047,Task 047,2025-01-01,2025-03-16,2024-12-30,2025-02-24,1.0,9 days,Complete,No,0,,0.19,Update_010
TSK-048,Task 048,2025-06-26,2025-09-23,2025-06-25,2025-08-19,Complete,5 days,Complete,1,1,H,0.67,Update_010
TSK-049,Task 049,2025-05-25,2025-06-04,2025-05-23,2025-06-03,Complete,1 wks,Complete,1,TRUE,High,,Update_010
TSK-050,Task 050,2025-07-24,2025-10-15,2025-07-22,2025-09-08,100%,2 wks,Complete,0,False,,0.68,Update_010
