task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,percent_complete,duration,status,is_milestone,is_critical,risk_flag,severity_score,update_phase
TSK-001,Task 001,2025-05-31,2025-07-04,2025-06-01,2025-06-19,100%,,Complete,False,False,L,,Update_009
TSK-002,Task 002,2025-07-10,2025-09-06,2025-07-11,2025-08-27,100%,4 days,Complete,0,,L,,Update_009
TSK-003,Task 003,2024-11-30,2024-12-25,2024-11-28,2024-12-08,1.0,1 wks,Complete,No,Yes,Medium,0.36,Update_009
TSK-004,Task 004,2025-06-16,2025-06-27,2025-06-19,2025-07-02,1.0,10 days,Complete,No,No,,,Update_009
TSK-005,Task 005,2025-01-20,2025-02-26,2025-01-18,2025-02-11,100%,4 days,Complete,False,1,H,,Update_009
TSK-006,Task 006,2025-08-15,2025-09-10,2025-08-17,2025-09-08,100%,3 wks,Complete,Yes,1,Low,0.12,Update_009
TSK-007,Task 007,2025-05-28,2025-08-01,2025-05-27,2025-07-26,1.0,32,Complete,FALSE,Yes,High,0.46,Update_009
TSK-008,Task 008,2025-05-03,2025-07-14,2025-05-06,2025-06-28,Complete,,Complete,False,FALSE,Medium,,Update_009
TSK-009,Task 009,2025-04-22,2025-05-24,2025-04-19,2025-05-01,100%,1 days,Complete,FALSE,No,Medium,0.14,Update_009
TSK-010,Task 010,2024-10-28,2024-12-21,2024-10-30,2024-11-30,100%,49,Complete,No,TRUE,Low,0.06,Update_009
TSK-011,Task 011,2025-08-04,2025-09-16,2025-08-03,2025-08-18,1.0,,Complete,FALSE,Yes,High,0.08,Update_009
TSK-012,Task 012,2025-10-17,2025-12-31,2025-10-14,2025-11-30,1.0,50,Complete,No,No,,0.76,Update_009
TSK-013,Task 013,2025-10-01,2025-10-30,2025-10-02,2025-10-31,1.0,2 wks,Complete,False,0,,0.87,Update_009
TSK-014,Task 014,2025-07-15,2025-09-21,2025-07-12,2025-09-06,100%,4 wks,Complete,0,0,Medium,,Update_009
TSK-015,Task 015,2025-06-06,2025-07-09,2025-06-07,2025-07-04,Complete,4 wks,Complete,FALSE,0,L,0.79,Update_009
TSK-016,Task 016,2025-06-07,2025-08-05,2025-06-08,2025-07-20,100%,43,Complete,No,0,L,0.29,Update_009
TSK-017,Task 017,2025-06-01,2025-08-08,2025-05-30,2025-06-24,1.0,32,Complete,0,,H,0.44,Update_009
TSK-018,Task 018,2025-05-01,2025-06-16,2025-04-29,2025-06-13,Complete,45,Complete,0,,H,0.42,Update_009
TSK-019,Task 019,2025-06-07,2025-08-22,2025-06-10,2025-08-07,Complete,17,Complete,FALSE,,H,,Update_009
TSK-020,Task 020,2025-08-28,2025-09-23,2025-08-26,2025-09-12,1.0,19,Complete,FALSE,Yes,Medium,0.49,Update_009
TSK-021,Task 021,2025-05-26,2025-06-12,2025-05-28,2025-06-14,100%,,Complete,No,,,,Update_009
TSK-022,Task 022,2025-07-11,2025-08-29,2025-07-11,2025-08-16,100%,,Complete,1,No,Low,0.36,Update_009
TSK-023,Task 023,2025-09-05,2025-10-13,2025-09-06,2025-10-13,100%,,Complete,0,FALSE,L,0.77,Update_009
TSK-024,Task 024,2025-02-23,2025-06-09,2025-02-25,2025-04-26,Complete,2 wks,Complete,0,0,,,Update_009
TSK-025,Task 025,2024-12-21,2025-01-28,2024-12-20,2025-01-14,Complete,6,Complete,1,0,,0.7,Update_009
TSK-026,Task 026,2025-05-05,2025-06-02,2025-05-07,2025-06-05,Complete,,Complete,FALSE,0,Medium,,Update_009
TSK-027,Task 027,2025-03-19,2025-04-10,2025-03-18,2025-04-08,Complete,2 days,Complete,0,FALSE,Low,,Update_009
TSK-028,Task 028,2025-06-06,2025-07-29,2025-06-04,2025-07-30,100%,11,Complete,No,Yes,,0.48,Update_009
TSK-029,Task 029,2024-11-18,2024-12-26,2024-11-17,2024-12-13,1.0,1 wks,Complete,FALSE,False,Low,,Update_009
TSK-030,Task 030,2025-07-24,2025-08-15,2025-07-25,2025-08-10,100%,39,Complete,No,0,High,0.84,Update_009
TSK-031,Task 031,2024-11-07,2024-12-20,2024-11-05,2024-12-07,1.0,9 days,Complete,FALSE,True,High,,Update_009
TSK-032,Task 032,2025-09-30,2025-10-29,2025-10-02,2025-10-20,100%,2 wks,Complete,False,No,High,,Update_009
TSK-033,Task 033,2025-08-22,2025-10-19,2025-08-23,2025-09-22,1.0,,Complete,No,True,High,0.23,Update_009
TSK-034,Task 034,2025-08-23,2025-09-09,2025-08-23,2025-09-05,100%,16,Complete,FALSE,False,Medium,0.01,Update_009
TSK-035,Task 035,2025-01-06,2025-04-07,2025-01-06,2025-02-24,Complete,2 days,Complete,False,FALSE,H,0.03,Update_009
TSK-036,Task 036,2025-07-03,2025-09-09,2025-06-30,2025-08-27,100%,41,Complete,No,FALSE,H,0.35,Update_009
TSK-037,Task 037,2025-06-01,2025-06-28,2025-06-03,2025-06-16,1.0,5 days,Complete,No,,,0.32,Update_009
TSK-038,Task 038,2025-09-01,2025-11-22,2025-09-01,2025-10-01,1.0,45,Complete,False,TRUE,L,0.59,Update_009
TSK-039,Task 039,2025-03-10,2025-04-05,2025-03-11,2025-04-04,100%,41,Complete,TRUE,True,High,0.99,Update_009
TSK-040,Task 040,2024-12-04,2024-12-24,2024-12-03,2024-12-26,Complete,23,Complete,False,,H,0.02,Update_009
TSK-041,Task 041,2025-09-26,2025-11-27,2025-09-29,2025-11-12,100%,6 days,Complete,False,TRUE,High,0.18,Update_009
TSK-042,Task 042,2025-01-02,2025-02-10,2024-12-31,2025-02-05,Complete,,Complete,False,Yes,Low,0.16,Update_009
TSK-043,Task 043,2025-02-25,2025-04-24,2025-02-23,2025-03-19,1.0,2 wks,Complete,0,1,L,,Update_009
TSK-044,Task 044,2025-04-07,2025-05-11,2025-04-10,2025-05-03,Complete,47,Complete,,,L,,Update_009
TSK-045,Task 045,2025-02-13,2025-03-17,2025-02-11,2025-03-06,100%,5 wks,Complete,TRUE,,L,0.16,Update_009
TSK-046,Task 046,2025-05-06,2025-06-15,2025-05-04,2025-05-27,1.0,,Complete,False,FALSE,H,,Update_009
TSK-047,Task 047,2025-01-01,2025-03-16,2024-12-30,2025-02-24,1.0,2 days,Complete,No,0,,0.26,Update_009
TSK-048,Task 048,2025-06-26,2025-09-23,2025-06-25,2025-08-19,100%,2 days,Complete,1,1,Low,0.31,Update_009
TSK-049,Task 049,2025-05-25,2025-06-04,2025-05-23,2025-06-03,1.0,,Complete,1,TRUE,,0.05,Update_009
TSK-050,Task 050,2025-07-24,2025-10-13,2025-07-22,2025-09-08,Complete,5 wks,Complete,0,False,L,,Update_009
