task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,percent_complete,duration,status,is_milestone,is_critical,risk_flag,severity_score,update_phase
TSK-001,Task 001,2025-10-02,2025-11-15,2025-09-30,2025-10-31,Complete,1 wks,Complete,TRUE,TRUE,Low,0.41,Update_008
TSK-002,Task 002,2025-09-23,2025-11-12,2025-09-26,2025-10-23,Complete,,Complete,1,True,High,0.81,Update_008
TSK-003,Task 003,2024-12-19,2025-02-24,2024-12-18,2025-02-01,1.0,,Complete,0,TRUE,,0.48,Update_008
TSK-004,Task 004,2025-08-28,2025-09-25,2025-08-27,2025-09-10,1.0,,Complete,No,0,Low,,Update_008
TSK-005,Task 005,2025-05-15,2025-06-20,2025-05-16,2025-06-15,Complete,9 days,Complete,False,No,H,,Update_008
TSK-006,Task 006,2024-12-15,2025-01-10,2024-12-14,2024-12-26,100%,15,Complete,FALSE,,Low,0.68,Update_008
TSK-007,Task 007,2025-10-13,2025-11-28,2025-10-10,2025-11-16,1.0,,Complete,0,TRUE,L,0.97,Update_008
TSK-008,Task 008,2025-02-23,2025-05-01,2025-02-23,2025-04-21,1.0,,Complete,No,FALSE,High,0.39,Update_008
TSK-009,Task 009,2025-08-11,2025-10-05,2025-08-14,2025-09-22,Complete,3 wks,Complete,0,FALSE,High,0.67,Update_008
TSK-010,Task 010,2025-06-22,2025-08-20,2025-06-21,2025-08-02,1.0,,Complete,No,Yes,L,,Update_008
TSK-011,Task 011,2025-08-27,2025-11-09,2025-08-30,2025-10-20,Complete,2 wks,Complete,FALSE,0,L,,Update_008
TSK-012,Task 012,2025-01-25,2025-04-02,2025-01-28,2025-03-19,100%,7 days,Complete,,,Medium,0.3,Update_008
TSK-013,Task 013,2025-09-07,2025-10-31,2025-09-07,2025-11-05,1.0,8 days,Complete,Yes,,High,,Update_008
TSK-014,Task 014,2024-12-05,2025-02-04,2024-12-05,2025-01-09,1.0,4 wks,Complete,1,TRUE,H,,Update_008
TSK-015,Task 015,2025-06-08,2025-07-25,2025-06-06,2025-07-11,1.0,42,Complete,0,,L,0.09,Update_008
TSK-016,Task 016,2024-12-10,2025-01-14,2024-12-07,2025-01-01,1.0,2 days,Complete,TRUE,1,H,0.78,Update_008
TSK-017,Task 017,2025-05-02,2025-05-24,2025-04-29,2025-05-20,Complete,42,Complete,FALSE,FALSE,Medium,,Update_008
TSK-018,Task 018,2025-09-28,2025-11-21,2025-09-29,2025-11-26,Complete,16,Complete,FALSE,,H,,Update_008
TSK-019,Task 019,2025-05-31,2025-06-19,2025-05-28,2025-06-07,100%,,Complete,No,No,High,0.58,Update_008
TSK-020,Task 020,2025-05-04,2025-06-26,2025-05-06,2025-06-30,1.0,23,Complete,0,True,L,0.74,Update_008
TSK-021,Task 021,2025-04-27,2025-05-20,2025-04-25,2025-05-14,1.0,8 days,Complete,True,False,L,0.76,Update_008
TSK-022,Task 022,2025-01-11,,2025-01-10,2025-02-11,,9 days,IP,0,No,Medium,0.84,Update_008
TSK-023,Task 023,2025-04-24,2025-06-21,2025-04-25,2025-06-03,1.0,25,Complete,False,FALSE,,,Update_008
TSK-024,Task 024,2024-10-30,2024-12-22,2024-11-02,2024-12-15,Complete,4 wks,Complete,No,,High,,Update_008
TSK-025,Task 025,2025-03-02,2025-04-21,2025-02-28,2025-03-23,Complete,1 wks,Complete,True,FALSE,H,,Update_008
TSK-026,Task 026,2024-12-18,2025-02-06,2024-12-20,2025-01-22,Complete,43,Complete,FALSE,No,High,,Update_008
TSK-027,Task 027,2025-06-26,2025-08-15,2025-06-24,2025-07-31,1.0,15,Complete,,1,Low,,Update_008
TSK-028,Task 028,2025-03-03,2025-03-22,2025-03-02,2025-03-15,1.0,,Complete,No,TRUE,High,0.48,Update_008
TSK-029,Task 029,2025-08-19,2025-10-19,2025-08-20,2025-10-01,1.0,6 days,Complete,,No,High,,Update_008
