task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,percent_complete,duration,status,is_milestone,is_critical,risk_flag,severity_score,update_phase
TSK-001,Task 001,2024-11-22,2025-01-10,2024-11-21,2025-01-02,1.0,5 wks,Complete,FALSE,True,Medium,0.12,Update_006
TSK-002,Task 002,2025-02-23,2025-04-18,2025-02-21,2025-04-04,1.0,5 wks,Complete,FALSE,TRUE,Low,,Update_006
TSK-003,Task 003,2025-09-24,2025-11-19,2025-09-26,2025-11-17,Complete,8,Complete,,0,High,0.83,Update_006
TSK-004,Task 004,2025-08-06,2025-10-06,2025-08-09,2025-10-07,100%,5 wks,Complete,,True,H,0.34,Update_006
TSK-005,Task 005,2025-07-19,2025-08-24,2025-07-16,2025-08-28,1.0,4 wks,Complete,TRUE,True,,,Update_006
TSK-006,Task 006,2024-10-26,2024-12-09,2024-10-29,2024-12-02,100%,,Complete,No,0,High,0.46,Update_006
TSK-007,Task 007,2025-07-12,2025-09-07,2025-07-14,2025-09-06,Complete,5 wks,Complete,TRUE,,Low,,Update_006
TSK-008,Task 008,2025-03-25,2025-04-21,2025-03-24,2025-04-03,100%,4 days,Complete,TRUE,FALSE,L,0.86,Update_006
TSK-009,Task 009,2024-12-14,2025-02-09,2024-12-12,2025-01-30,100%,33,Complete,False,FALSE,L,0.42,Update_006
TSK-010,Task 010,2025-08-11,2025-08-31,2025-08-12,2025-09-02,Complete,2 wks,Complete,TRUE,No,Medium,,Update_006
TSK-011,Task 011,2025-05-12,2025-07-14,2025-05-13,2025-06-21,1.0,,Complete,True,TRUE,Medium,0.75,Update_006
TSK-012,Task 012,2025-03-16,,2025-03-14,2025-04-19,,3 days,IP,1,No,Low,,Update_006
TSK-013,Task 013,2025-01-14,2025-03-05,2025-01-11,2025-02-17,100%,1 days,Complete,0,No,Medium,,Update_006
TSK-014,Task 014,2025-04-23,2025-05-19,2025-04-25,2025-05-20,100%,5,Complete,No,No,Low,0.13,Update_006
TSK-015,Task 015,2025-01-18,2025-02-02,2025-01-20,2025-02-02,100%,4 wks,Complete,FALSE,0,H,,Update_006
TSK-016,Task 016,2025-10-08,,2025-10-09,2025-10-30,,3 wks,IP,No,FALSE,Low,,Update_006
TSK-017,Task 017,2024-11-21,,2024-11-20,2025-01-03,57,4 wks,In Progress,No,1,Medium,,Update_006
TSK-018,Task 018,2025-03-23,2025-05-19,2025-03-26,2025-05-14,1.0,2 wks,Complete,False,False,Low,,Update_006
TSK-019,Task 019,2025-07-07,2025-09-02,2025-07-07,2025-08-22,1.0,25,Complete,,False,Low,,Update_006
TSK-020,Task 020,2024-12-09,2025-02-13,2024-12-08,2025-02-01,1.0,,Complete,FALSE,,H,,Update_006
TSK-021,Task 021,2025-01-14,2025-02-25,2025-01-17,2025-02-17,1.0,2 wks,Complete,No,1,Medium,0.34,Update_006
TSK-022,Task 022,2025-10-08,2025-12-02,2025-10-06,2025-10-26,100%,2 wks,Complete,,0,L,,Update_006
TSK-023,Task 023,2024-11-26,2025-01-19,2024-11-28,2025-01-15,1.0,8 days,Complete,,TRUE,L,0.4,Update_006
TSK-024,Task 024,2024-10-26,,2024-10-28,2024-11-07,57%,30,IP,1,False,,0.38,Update_006
TSK-025,Task 025,2025-02-17,2025-03-28,2025-02-18,2025-03-13,100%,9 days,Complete,Yes,0,,0.76,Update_006
TSK-026,Task 026,2025-07-25,,2025-07-25,2025-08-05,,6 days,In Progress,1,Yes,Medium,0.47,Update_006
TSK-027,Task 027,2025-05-09,2025-05-28,2025-05-10,2025-05-31,100%,,Complete,Yes,,Medium,,Update_006
TSK-028,Task 028,2025-02-20,2025-04-12,2025-02-20,2025-04-02,1.0,5 wks,Complete,Yes,Yes,H,,Update_006
TSK-029,Task 029,2025-07-19,2025-08-15,2025-07-16,2025-08-03,100%,,Complete,Yes,No,,0.37,Update_006
TSK-030,Task 030,2025-10-21,2025-12-27,2025-10-23,2025-12-07,1.0,,Complete,,True,Medium,,Update_006
TSK-031,Task 031,2025-05-11,2025-06-18,2025-05-14,2025-06-02,Complete,4 wks,Complete,1,No,Medium,0.8,Update_006
TSK-032,Task 032,2025-09-01,2025-11-21,2025-08-31,2025-10-06,1.0,46,Complete,FALSE,,High,,Update_006
TSK-033,Task 033,2025-10-19,2025-12-18,2025-10-19,2025-11-15,100%,3 days,Complete,1,0,H,0.11,Update_006
TSK-034,Task 034,2025-04-12,2025-05-20,2025-04-12,2025-05-17,Complete,3 days,Complete,FALSE,0,Low,0.91,Update_006
TSK-035,Task 035,2024-10-30,2024-11-22,2024-11-01,2024-11-27,Complete,5 wks,Complete,True,TRUE,L,,Update_006
TSK-036,Task 036,2025-08-05,2025-10-03,2025-08-04,2025-09-19,Complete,4 wks,Complete,TRUE,True,High,,Update_006
TSK-037,Task 037,2025-03-31,2025-05-15,2025-04-02,2025-05-09,Complete,2 wks,Complete,No,,Low,0.91,Update_006
TSK-038,Task 038,2024-11-14,2025-01-21,2024-11-12,2025-01-11,Complete,5 wks,Complete,,TRUE,,0.66,Update_006
TSK-039,Task 039,2025-07-23,2025-08-18,2025-07-24,2025-08-08,Complete,5 wks,Complete,0,,Medium,,Update_006
TSK-040,Task 040,2024-11-28,2025-01-08,2024-11-30,2025-01-08,Complete,,Complete,FALSE,False,,,Update_006
TSK-041,Task 041,2025-01-29,2025-04-04,2025-01-31,2025-03-24,Complete,,Complete,No,0,Medium,0.94,Update_006
TSK-042,Task 042,2025-06-13,2025-07-09,2025-06-12,2025-06-24,1.0,,Complete,,False,L,0.41,Update_006
TSK-043,Task 043,2025-03-25,2025-05-12,2025-03-25,2025-05-01,Complete,1 days,Complete,FALSE,1,Low,0.17,Update_006
TSK-044,Task 044,2024-11-26,2025-01-13,2024-11-24,2025-01-03,100%,3 days,Complete,,,,,Update_006
TSK-045,Task 045,2025-02-15,2025-04-13,2025-02-13,2025-03-13,Complete,4 wks,Complete,,False,Low,0.24,Update_006
TSK-046,Task 046,2025-10-07,2025-11-15,2025-10-07,2025-11-09,100%,5 days,Complete,False,False,L,,Update_006
TSK-047,Task 047,2025-08-09,2025-09-27,2025-08-12,2025-09-25,1.0,,Complete,False,False,H,,Update_006
TSK-048,Task 048,2025-04-10,2025-06-07,2025-04-12,2025-06-09,1.0,2 days,Complete,No,False,Medium,,Update_006
TSK-049,Task 049,2025-02-07,2025-04-12,2025-02-06,2025-03-25,100%,41,Complete,True,False,High,0.39,Update_006
TSK-050,Task 050,2025-01-18,2025-01-31,2025-01-18,2025-02-03,Complete,10 days,Complete,No,,H,0.61,Update_006
