task_id,task_name,actual_start,actual_finish,baseline_start,baseline_end,percent_complete,duration,status,is_milestone,is_critical,risk_flag,severity_score,update_phase
TSK-001,Task 001,2024-11-22,,2024-11-21,2025-01-02,48,1 days,IP,FALSE,True,L,0.6,Update_003
TSK-002,Task 002,2025-02-23,,2025-02-21,2025-04-04,67,,In Progress,FALSE,TRUE,Medium,0.25,Update_003
TSK-003,Task 003,2025-09-24,2025-11-19,2025-09-26,2025-11-17,1.0,8 days,Complete,,0,High,0.02,Update_003
TSK-004,Task 004,2025-08-06,,2025-08-09,2025-10-07,25%,,In Progress,,True,Medium,0.74,Update_003
TSK-005,Task 005,2025-07-19,,2025-07-16,2025-08-28,,,IP,TRUE,True,H,,Update_003
TSK-006,Task 006,2024-10-26,,2024-10-29,2024-12-02,70%,,IP,No,0,,0.15,Update_003
TSK-007,Task 007,2025-07-12,,2025-07-14,2025-09-06,41,26,In Progress,TRUE,,Medium,0.9,Update_003
TSK-008,Task 008,2025-03-25,2025-04-17,2025-03-24,2025-04-03,1.0,,Complete,TRUE,FALSE,,,Update_003
TSK-009,Task 009,2024-12-14,2025-02-09,2024-12-12,2025-01-30,1.0,1 wks,Complete,False,FALSE,,,Update_003
TSK-010,Task 010,2025-08-11,,2025-08-12,2025-09-02,,,IP,TRUE,No,High,0.03,Update_003
TSK-011,Task 011,2025-05-12,2025-07-12,2025-05-13,2025-06-21,1.0,,Complete,True,TRUE,Medium,0.31,Update_003
TSK-012,Task 012,2025-03-16,,2025-03-14,2025-04-19,,,In Progress,1,No,High,,Update_003
TSK-013,Task 013,2025-01-14,2025-03-04,2025-01-11,2025-02-17,Complete,38,Complete,0,No,High,,Update_003
TSK-014,Task 014,2025-04-23,2025-05-19,2025-04-25,2025-05-20,100%,1 days,Complete,No,No,L,0.24,Update_003
TSK-015,Task 015,2025-01-18,2025-02-02,2025-01-20,2025-02-02,100%,4 wks,Complete,FALSE,0,H,0.22,Update_003
TSK-016,Task 016,2025-10-08,,2025-10-09,2025-10-30,44%,3 wks,In Progress,No,FALSE,Low,0.1,Update_003
TSK-017,Task 017,2024-11-21,,2024-11-20,2025-01-03,0.6565513580415864,47,In Progress,No,1,High,,Update_003
TSK-018,Task 018,2025-03-23,2025-05-19,2025-03-26,2025-05-14,100%,43,Complete,False,False,Medium,0.93,Update_003
TSK-019,Task 019,2025-07-07,,2025-07-07,2025-08-22,,,IP,,False,H,,Update_003
TSK-020,Task 020,2024-12-09,,2024-12-08,2025-02-01,47%,,In Progress,FALSE,,L,,Update_003
TSK-021,Task 021,2025-01-14,,2025-01-17,2025-02-17,19,12,IP,No,1,Low,,Update_003
